Feature,Importance_High,Importance_Medium,Importance_Low
Resource 4 -> Resource 3,-0.0057191826467580895,-0.017259390035146045,-0.0035153953516419553
Loan Officer 1 -> Loan Officer 4,-0.005495431076054652,-0.015709395506691978,0.00013303771009090046
Resource 2 -> Resource 2,0.005176803774327516,-0.014469352908540572,-0.00041176148694814144
Hotline -> Resource 3,0.0043894840117669354,-0.005086170192553773,0.003177251880774605
CreditScore_Medium,0.004347959133447503,-0.0006883461381081116,-0.00017183626243241635
Resource 1 -> Resource 4,0.004273970554999174,0.0005151617056085801,0.007697883077643572
Resource 4 -> Resource 4,0.004156491436872847,0.00540481401640289,0.0013482775500894245
Verify Borrowers Information -> Submit File to Underwriter,0.004006266124467287,0.0515851323344122,0.0008384714383991434
Loan Officer 1 -> Loan Officer 1,-0.0039691859546553895,-0.0044864006855289094,-0.0037978108400583297
Resource 5 -> Resource 3,-0.0037626622286061387,0.00554024374555544,0.0010940563991562824
Verify Borrowers Information -> Request Co-Signer On Loan,-0.003746644430202139,-0.022457610372959142,-0.0014876614785504225
Loan Officer 3 -> Loan Officer 3,-0.0035703760955816026,-0.006362469320460337,-0.001899582841087484
Loan Officer 5 -> Loan Officer 1,-0.0035394127767423914,0.0006656010797329028,-0.011934705188576191
Resource 4 -> Resource 2,0.0033957728970959353,0.0060549346543229045,0.001347001622084293
Resource 3 -> Hotline,-0.0033299272222253157,-0.0013754171141475656,0.0002287971484300216
Resource 2 -> Hotline,0.00327682533853704,0.0037268499427394975,-0.012672636587831665
Loan Officer 2 -> Loan Officer 4,-0.003040013439168405,-0.007216663713554554,-0.00033159560363161167
Loan Officer 3 -> Loan Officer 2,-0.0029882092796705726,-0.018426627416270287,0.0019256627778276904
Resource 2 -> Resource 1,-0.0028634172115751585,0.014334515467952235,-0.00041408022134161793
Resource 5 -> Resource 1,0.0025931952152688925,0.0035102488522268534,-0.0032650622067817636
Resource 5 -> Hotline,0.0023143701203437532,0.0016965606937692738,8.336959491241407e-05
Loan Officer 4 -> Loan Officer 3,-0.0020884317095990934,-0.022455027942819342,-0.008253640700498142
case:protected,0.002036277169720688,0.012549751888016738,0.00031529573191141445
Loan Officer 5 -> Loan Officer 5,0.0019780695789330385,-0.01734779155504268,-0.01242118089408298
