Feature,Importance_High,Importance_Medium,Importance_Low
Loan Officer 5 -> Loan Officer 4,0.032539236464720386,0.0006930493673481034,0.0020330859070274857
Resource 5 -> Resource 3,-0.031458921273994286,0.0015584009686169969,0.0007733529251653438
Resource 2 -> Hotline,0.02779142816872681,-0.0016646463972359933,-0.010174191044961728
Loan Officer 4 -> Loan Officer 3,-0.027683036996811065,-0.0018146401840620774,-0.001971392966295937
case:gender,-0.02750874560314981,0.0005877366181941537,0.00037823593953550743
Resource 4 -> Online System,0.026510158989417238,-0.001344069783801523,0.000901359825140827
Resource 3 -> Resource 3,-0.02610059196501066,4.9961914523415606e-05,0.0011119808173554416
Hotline -> Hotline,-0.025893811331357063,-0.00015888551433957171,0.0003136126928401005
Resource 2 -> Resource 1,-0.02563269656926014,0.004890173278123186,-0.0033625518715531015
Verify Borrowers Information -> Request Co-Signer On Loan,0.025333904892132043,0.00031495971719228404,-0.0007008209267642465
Hotline -> Resource 5,-0.025163303815867333,0.0029378267621522334,0.003841550500917082
Resource 2 -> Resource 3,-0.024584861146252364,-0.0007962180879712416,0.0032616945714454755
Resource 1 -> Hotline,-0.024106443644628113,0.0010490848152081205,0.003948828734405374
Loan Officer 5 -> Loan Officer 2,-0.02368764750130512,-0.0006825005836129523,0.0009886376013487628
case:german speaking,0.02294159747914232,0.0001660961407334922,-0.00035200351778188257
Resource 5 -> Hotline,0.022858828655303455,-0.001759604943146885,-0.0022725591293745683
CreditScore_High,0.022406877516076684,-6.0640142932477054e-05,-0.0003310165111956911
Loan Officer 2 -> Loan Officer 3,0.022373876666150785,-0.001361266875982543,-0.0015629775519597176
Resource 5 -> Resource 5,-0.021380099030108252,0.0036170708996250147,-0.0033446489640951496
Loan Officer 3 -> Loan Officer 1,-0.02112626342999104,0.0001038190419094134,0.0035315551093701115
Loan Officer 3 -> Loan Officer 3,-0.019064102356422974,0.0010081163565599546,-0.002461290554169282
Resource 2 -> Resource 4,0.018678842002536347,0.0006235506195072189,0.0009110019509050264
Resource 3 -> Online System,-0.017924677841249476,-8.45384872780912e-05,0.0010871122315953782
Loan Officer 5 -> Loan Officer 1,-0.017401915327700197,0.0013617212730232377,-0.0076492536953314885
case:CreditScore,0.01730182115845727,-0.0003496233629939192,-0.001062835851692799
Loan Officer 3 -> Loan Officer 2,-0.016892801135320955,-0.0002863731905176128,-0.0009134430524116452
CreditScore_Excellent,-0.01688807077252894,-0.0022674468107237913,0.001681780070972618
Verify Borrowers Information -> Make Visit to Assess Colatteral,-0.016210442436663402,-0.00047953363928327565,-0.0031071489948726323
Loan Officer 4 -> Loan Officer 5,-0.015677566754362954,-0.0001507447223868055,-0.001302325477513039
case:yearsOfEducation,-0.015007498127454996,-0.000104703455546759,-0.0001563411426430353
Resource 1 -> Resource 3,0.014765283525904112,0.0019801589018158105,-0.03628152022475422
Online System -> Loan Officer 5,0.014318521147644165,-0.0002241712514008594,0.0007744741449815057
Loan Officer 2 -> Loan Officer 5,-0.013767645803101133,0.001457906224956026,-0.0004635105483861645
Hotline -> Resource 2,-0.013306756722798203,-0.00019340703843238102,-0.025558327738965624
Make Visit to Assess Colatteral -> Submit File to Underwriter,0.012893240089822766,0.0003006830667020642,-0.0077370107542537895
Resource 1 -> Online System,0.011956091250241113,0.001026492334346346,0.0005754967911463156
CreditScore_Moderate,-0.011892640957608749,0.007350912897074613,0.00015542918679758823
Resource 4 -> Resource 5,0.0113687364830938,-0.0007464327603829042,-0.0023727669370918374
Loan Officer 1 -> Loan Officer 3,-0.011208539792009253,-0.0009862151550187111,0.0033958352335070096
Online System -> Loan Officer 3,-0.009994187252308918,0.0014703078122262963,-0.0013739458812441214
Loan Officer 5 -> Loan Officer 3,0.008492984230678374,-0.0004101784078585361,-0.0026069283163213854
Resource 1 -> Resource 5,0.006932705298655603,-0.00597835067962913,0.0032881408750060027
Online System -> Loan Officer 4,0.006645258804558266,-0.000625170928094252,0.0014380640710337862
Resource 2 -> Resource 5,-0.006307422988093734,0.000240594628448888,-0.0027592327207178807
Resource 4 -> Resource 1,-0.005950592597925626,-0.0018585314362173973,-6.47423894069795e-05
Resource 5 -> Online System,-0.00566713065453002,-0.0003945938452976679,-0.0009512528686491708
Loan Officer 3 -> Loan Officer 5,-0.005450829894784136,-0.0018437554966532928,-0.0006269557396406486
Hotline -> Online System,0.005111924572231536,-0.000883489782825256,0.00040461782164727
Resource 1 -> Resource 1,-0.004695861548229728,-0.0020596883731977375,0.0036884619629430093
Loan Officer 5 -> Loan Officer 5,-0.0043064119519366385,-0.0012528819100785713,-0.015216771690529096
Resource 3 -> Resource 4,-0.0027325056015971975,-0.00014851634743921885,0.0007791888304775902
Resource 2 -> Online System,-0.002723458057075614,-0.00030675890834915443,-0.0001281466635746959
Resource 3 -> Resource 5,-0.0023418240133386307,0.0031563270404334964,-0.007391336711919376
Online System -> Loan Officer 1,-0.0018060193066575456,0.00017725755892742298,0.0006119909548753198
Resource 5 -> Resource 2,-0.0017786854401122929,0.001378867064596806,-0.003635697070552763
case:age,-0.0017069869548481883,-0.0005227016589994168,0.00024959415557883606
Loan Officer 2 -> Loan Officer 4,-0.0011894813762803019,-0.0023530832435174633,-0.0010795886307137976
Loan Officer 4 -> Loan Officer 2,-0.0011758059269772539,0.00036712454229279935,-0.000375682244519634
Resource 1 -> Resource 2,0.000957728092893955,0.001963188125082215,0.004576797855591055
case:citizen,0.0005057220137493351,-0.00018486542610460861,-0.00023876326580928112
Resource 3 -> Resource 2,-0.0004521818081755927,-0.0006363466521168415,5.4413371976730765e-05
Online System -> Loan Officer 2,0.00037660990245626523,-7.248855146218898e-05,0.001729784382853996
Resource 3 -> Resource 1,7.36802054354788e-05,0.0002172030097203103,0.00392276131906702
Request Appointment -> Set Appointment,0.0,0.0,0.0
Set Appointment -> Hand In Credit Appliaction,0.0,0.0,0.0
Hand In Credit Appliaction -> Verify Borrowers Information,0.0,0.0,0.0
CreditScore_Low,0.0,0.0,-0.005188219748341658
